Player,Team,GP,W,L,MIN,"Passes
Made","Passes
Received",AST,"Secondary
AST","Potential
AST","AST PTS
Created","AST
Adj",TOUCHES,"Avg Sec Per
Touch","Avg Drib Per
Touch"
Evan Fournier,NYK,79,35,44,29.3,23.9,29.6,2.1,0.3,4.2,5.5,2.7,38.8,2.6,1.76
Immanuel Quickley,NYK,77,34,43,23.1,33.8,39.5,3.5,0.4,6.4,9.1,4.3,47.1,5.01,4.61
Julius Randle,NYK,71,31,40,35.3,51.3,55.9,5.2,0.4,10.3,14.4,6,76.5,3.25,2.2
Kemba Walker,NYK,37,16,21,25.6,45.5,48.4,3.5,0.7,6.5,9.4,4.5,60.6,4.93,4.34
Mitchell Robinson,NYK,71,31,40,25.7,21,10.8,0.5,0.1,0.9,1.4,0.7,27.9,1.34,0.3
RJ Barrett,NYK,69,32,37,34.5,30.9,39.8,2.9,0.3,5.8,7.4,3.6,54.3,3.27,2.67
Aaron Wiggins,OKC,50,13,37,24.2,16.1,17.7,1.4,0.1,2.6,3.4,1.5,25.1,2.12,1.47
Aleksej Pokusevski,OKC,61,19,42,20.2,28.1,24.3,2.1,0.2,4,5.8,2.6,38,2.23,1.41
Darius Bazley,OKC,69,19,50,27.9,31.3,25.3,1.4,0.2,3.1,3.8,1.8,43.9,2.34,1.42
Isaiah Roby,OKC,45,10,35,21.1,28.1,23,1.6,0.1,2.9,4,1.8,38.2,1.64,0.68
Jeremiah Robinson-Earl,OKC,49,15,34,22.2,26.7,21.8,1,0.2,2.3,2.7,1.2,35,1.19,0.42
Josh Giddey,OKC,54,17,37,31.5,59.9,52.8,6.4,0.5,11.6,16,7.2,78.2,3.41,2.72
Kenrich Williams,OKC,49,17,32,21.9,23.2,21.9,2.2,0.2,4.2,5.6,2.7,32.1,2.2,1.58
Luguentz Dort,OKC,51,17,34,32.7,23.4,33.9,1.7,0.3,4.2,4.7,2.2,42.1,2.98,2.37
